SPREADSHEET									
									
FileID	FolioPage	SequentialPage	Author	CommentaryDate	CommentaryContent	Heading	HeadingTranslation	Transcription	TranscriptionTranslation
add_6782_f001	1	1	JS	28-Mar-12	"Lists of powers of 2 up to $ 2^{29} $, in standard denary (right) and in octonary (left). "	Octonaria. Denaria. 	Octonary. Denary 		
add_6782_f001v	1v	2	JS	26-Feb-13	Rough sketch 				
add_6782_f002	2	3	JS	26-Feb-13	A full list of the numbers calculated in Add MS 6782 f.7 to f.10 . 				
add_6782_f002v	2v	4	JS	9-Nov-12	Blank page 				
add_6782_f003	3	5	JS	26-Feb-13	"A geometric progression beginning from $ 9.988763... $ with multiplier $ \frac{1}{.999718...} $. It appears that Harriot has begun the calculations from the top of the table and worked downwards, and that rounding error has led him to $ 9.999999999999993 $ as the fifth entry rather than $ 10 $ as he would have expected. To the right, he has calculated first, second, third, and fourth differences. "				
add_6782_f003v	3v	6	JS	26-Feb-13	Rough work 				
add_6782_f004	4	7	JS	26-Feb-13	"The same table as in Add MS 6782 f.3 , but now it appears that Harriot has begun the calculations from the fifth entry, $ 10 $, and worked both upwards and downwards from there. He has also calculated to 18 rather than merely 16 places. To the right, he has calculated first, second, third, and fourth differences. "				
add_6782_f004v	4v	8	JS	9-Nov-12	Blank page 				
add_6782_f005	5	9	JS	26-Feb-13	"A shorter version of the table in Add MS 6782 f. 4 , calculated to 17 places. To the right, Harriot has calculated first, second, third, and fourth differences. "				
add_6782_f005v	5v	10	JS	9-Nov-12	Blank page 				
add_6782_f006	6	11	JS	26-Feb-13	"The calculations $ \frac{1}{.99887...} = 1.000281... $ and $ \frac{.99941...}{.99887...} = 9.9887... $ were carried out on Add MS 6782 f. 10v and f. 11 . Here these, and further numbers, are presented as a geometric progression in which each number is obtained from the number above it by multiplying by $ .998718... $. Note that the numbers labelled 1, 2, and 4 were originally calculated as square roots in Add MS 6782 f. 9 and f. 9v . To the right, Harriot has calculated first, second, third, and fourth differences. For other versions of this table see Add MS 6782 f. 3 , f. 4 , f. 5 . "	f.c.10) 			
add_6782_f006v	6v	12	JS	9-Nov-12	Blank page 				
add_6782_f007	7	13	JS	26-Feb-13	"This is the first of several pages of calculations of what are essentially fractional powers of 10. Harriot used large integers to avoid fractional parts, but the calculation at the top of the page may be interpreted as $ \sqrt{10} = {10}^{\frac{1}{2}} = 3.1622... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{10 \times \sqrt{10}} = {10}^{\frac{3}{4}} = 5.6234... $. "	fc.1. 			
add_6782_f007v	7v	14	JS	26-Feb-13	"Continuing from Add MS 6782 f. 7 , and following the same pattern, the calculations on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{15}{16}}}} = {10}^{\frac{31}{32}} = 9.3057... $ and $ \sqrt{10 \times \sqrt{{10}^{\frac{31}{32}}}} = {10}^{\frac{63}{64}} = 9.6466... $. "	fc.3.) 			
